State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed
MA,,2,353,2,20061,DARVON-N 1,,,,,,,,60,1,59.85,0,0,
MA,,2,3004,75,20061,PROZAC WEE,,,,,,,,304,44,6225.01,0,0,
MA,,2,3004,75,20062,PROZAC WEE,,,,,,,,208,30,4055.51,0,0,
MA,,2,3004,75,20063,PROZAC WEE,,,,,,,,164,24,3695.61,0,0,
MA,,2,3004,75,20064,PROZAC WEE,,,,,,,,168,27,3700.5,0,0,
MA,,2,3125,42,20061,VANCOCIN H,,,,,,,,120,6,1436.55,0,0,
MA,,2,3125,42,20062,VANCOCIN H,,,,,,,,308,6,4045.49,0,0,
MA,,2,3125,42,20063,VANCOCIN H,,,,,,,,120,1,1628.92,0,0,
MA,,2,3125,42,20064,VANCOCIN H,,,,,,,,52,2,708.86,0,0,
MA,,2,3126,42,20061,VANCOCIN H,,,,,,,,775,14,16214.71,0,0,
MA,,2,3126,42,20062,VANCOCIN H,,,,,,,,256,6,5616.02,0,0,
MA,,2,3126,42,20063,VANCOCIN H,,,,,,,,282,4,7063.09,0,0,
MA,,2,3126,42,20064,VANCOCIN H,,,,,,,,171,2,801.68,0,0,
MA,,2,3227,30,20061,STRATTERA ,,,,,,,,18288,325,52273.31,0,0,
MA,,2,3227,30,20062,STRATTERA ,,,,,,,,17537,320,52782.3,0,0,
MA,,2,3227,30,20063,STRATTERA ,,,,,,,,15639,287,48342.03,0,0,
MA,,2,3227,30,20064,STRATTERA ,,,,,,,,15667,291,45119.69,0,0,
MA,,2,3228,30,20061,STRATTERA ,,,,,,,,39787,875,113064.48,0,0,
MA,,2,3228,30,20062,STRATTERA ,,,,,,,,40925,900,119820.5,0,0,
MA,,2,3228,30,20063,STRATTERA ,,,,,,,,38435,855,114609.47,0,0,
MA,,2,3228,30,20064,STRATTERA ,,,,,,,,39259,900,123115.06,0,0,
MA,,2,3229,30,20061,STRATTERA ,,,,,,,,67403,1524,201299.27,0,0,
MA,,2,3229,30,20062,STRATTERA ,,,,,,,,66445,1541,211526.04,0,0,
MA,,2,3229,30,20063,STRATTERA ,,,,,,,,58024,1378,185309.19,0,0,
MA,,2,3229,30,20064,STRATTERA ,,,,,,,,64828,1566,219328.95,0,0,
MA,,2,3231,30,20061,SYMBYAX 6-,,,,,,,,30,1,16.5,0,0,
MA,,2,3231,30,20063,SYMBYAX 6-,,,,,,,,120,4,46.8,0,0,
MA,,2,3231,30,20064,SYMBYAX 6-,,,,,,,,90,3,68.63,0,0,
MA,,2,3231,33,20064,SYMBYAX 6-,,,,,,,,30,1,23.78,0,0,
MA,,2,3232,30,20061,SYMBYAX 12,,,,,,,,90,3,742.14,0,0,
MA,,2,3232,30,20062,SYMBYAX 12,,,,,,,,90,3,1111.32,0,0,
MA,,2,3232,30,20063,SYMBYAX 12,,,,,,,,60,2,740.88,0,0,
MA,,2,3233,30,20063,SYMBYAX 6-,,,,,,,,120,3,984.05,0,0,
MA,,2,3233,30,20064,SYMBYAX 6-,,,,,,,,180,3,1482.09,0,0,
MA,,2,3233,33,20062,SYMBYAX 6-,,,,,,,,14,1,114.8,0,0,
MA,,2,3233,33,20063,SYMBYAX 6-,,,,,,,,16,1,131.2,0,0,
MA,,2,3234,30,20063,SYMBYAX 12,,,,,,,,30,1,370.44,0,0,
MA,,2,3234,30,20064,SYMBYAX 12,,,,,,,,90,3,1111.32,0,0,
MA,,2,3235,60,20061,CYMBALTA 2,,,,,,,,10984,223,30010.13,0,0,
MA,,2,3235,60,20062,CYMBALTA 2,,,,,,,,13738,274,38593.01,0,0,
MA,,2,3235,60,20063,CYMBALTA 2,,,,,,,,15870,298,44583.89,0,0,
MA,,2,3235,60,20064,CYMBALTA 2,,,,,,,,22244,409,61795.31,0,0,
