NDC Labeler Code,Firm Name
2,Eli Lilly and Company
3,"E.R. Squibb & Sons, L.L.C."
4,"Genentech, Inc."
5,"Wyeth Pharmaceutical Division of Wyeth Holdings Corporation, a subsidiary of Pfizer Inc."
6,Merck Sharp & Dohme Corp.
7,GlaxoSmithKline LLC
8,"Wyeth Pharmaceuticals Company, a subsidiary of Pfizer Inc."
9,Pharmacia and Upjohn Company
10,"Boehringer Ingelheim Vetmedica, Inc."
13,Pharmacia and Upjohn Company
15,"E.R. Squibb & Sons, L.L.C."
19,Mallinckrodt Inc.
23,"Allergan, Inc."
24,sanofi-aventis U.S. LLC
25,G.D. Searle LLC Division of Pfizer Inc
26,Bayer HealthCare LLC
28,Novartis Pharmaceuticals Corporation
29,GlaxoSmithKline LLC
31,Richmond Division of Wyeth
32,AbbVie Inc.
37,Meda Pharmaceuticals Inc.
39,Sanofi-Aventis U.S. LLC
41,Oral-B Laboratories
43,Novartis Consumer Health
44,Abbott Laboratories
45,Ortho McNeil Pharmaceuticals
46,"Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc."
48,Abbott Laboratories
49,Roerig
51,AbbVie Inc.
52,Organon Pharmaceuticals USA
53,CSL Behring L.L.C.
54,"Roxane Laboratories, Inc."
56,Bristol-Myers Squibb Pharma Company
61,Schering Corporation
62,Ortho-McNeil Pharmaceuticals
64,"Healthpoint, Ltd"
65,"Alcon Laboratories, Inc."
66,Dermik Laboratories
67,"Novartis Consumer Health, Inc."
68,Sanofi-Aventis U.S. LLC
69,Pfizer Laboratories Div Pfizer Inc
71,Parke-Davis Div of Pfizer Inc
74,AbbVie Inc.
75,sanofi-aventis U.S. LLC
76,"Star Pharmaceuticals, LLC"
78,Novartis Pharmaceuticals Corporation
79,ALLTECH ASSOCIATES INC
83,Novartis Pharmaceuticals Corporation
85,Merck Sharp & Dohme Corp.
859,Bayer Corporation Animal Health
87,Bristol-Myers Squibb Company
88,sanofi-aventis U.S. LLC
89,3M Company
904,Major Pharmaceuticals
91,"UCB, Inc."
93,Teva Pharmaceuticals USA Inc
95,"ECR Pharmaceuticals Co., Inc."
110,"Lilly del Caribe, Inc."
113,L. Perrigo Company
115,Global Pharmaceuticals
116,"Xttrium Laboratoties, Inc."
1161,Miers Laboratories
121,"Pharmaceutical Associates, Inc."
126,"Colgate Oral Pharmaceuticals, Inc."
131,Kremers Urban Pharmaceuticals Inc.
132,"C.B. Fleet Company, Inc."
135,GlaxoSmithKline Consumer Healthcare LP
140,Roche Products Inc
143,West-ward Pharmaceutical Corp
145,Stiefel Laboratories Inc
149,"Warner Chilcott (US), LLC"
155,Weleda SA
159,PJ Noyes Company Inc
164,Weleda AG
168,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.
169,Novo Nordisk
172,"IVAX Pharmaceuticals, Inc."
173,GlaxoSmithKline LLC
178,Mission Pharmacal Company
179,KAISER FOUNDATION HOSPITALS
182,"Goldline Laboratories, Inc."
185,"Eon Labs, Inc."
186,AstraZeneca LP
187,Valeant Pharmaceuticals North America LLC
201,Weleda AG
