State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,,
,,2,351,2,20004,DARVOCET N,,,,,,,,,12365,330,5598.75,0,0,,,
,,2,353,2,20004,DARVON-N  ,,,,,,,,,7255,132,4780.15,0,0,,,
,,2,353,3,20004,DARVON-N  ,,,,,,,,,480,2,271.88,0,0,,,
,,2,363,2,20004,DARVOCET-N,,,,,,,,,2435,41,776.26,0,0,,,
,,2,363,3,20004,DARVOCET-N,,,,,,,,,2403,46,958.25,0,0,,,
,,2,363,33,20004,DARVOCET-N,,,,,,,,,215,4,123.36,0,0,,,
,,2,363,46,20004,DARVOCET-N,,,,,,,,,480,4,137.4,0,0,,,
,,2,501,1,20004,NEBCIN    ,,,,,,,,,36,1,61.22,0,0,,,
,,2,640,2,20004,SECONAL SO,,,,,,,,,487,12,326.13,0,0,,,
,,2,803,2,20004,DARVON    ,,,,,,,,,210,3,40.29,0,0,,,
,,2,803,3,20004,DARVON    ,,,,,,,,,210,2,68.15,0,0,,,
,,2,1031,2,20004,PHENOBARBI,,,,,,,,,1621,15,114.28,0,0,,,
,,2,1032,2,20004,PHENOBARBI,,,,,,,,,4318,51,339.04,0,0,,,
,,2,1032,4,20004,PHENOBARBI,,,,,,,,,3160,27,157.91,0,0,,,
,,2,1033,2,20004,PHENOBARBI,,,,,,,,,2086,45,319.54,0,0,,,
,,2,1037,2,20004,PHENOBARBI,,,,,,,,,3758,77,481.53,0,0,,,
,,2,1037,4,20004,PHENOBARBI,,,,,,,,,3634,72,409.32,0,0,,,
,,2,1444,1,20004,VANCOCIN H,,,,,,,,,246,30,1318.37,0,0,,,
,,2,1444,25,20004,VANCOCIN H,,,,,,,,,704.002,7,3232.17,0,0,,,
,,2,1499,1,20004,NEBCIN    ,,,,,,,,,99,4,325.65,0,0,,,
,,2,1499,25,20004,NEBCIN    ,,,,,,,,,361,13,1156.88,0,0,,,
,,2,1637,1,20004,MORPHINE S,,,,,,,,,40,1,31.87,0,0,,,
,,2,2029,2,20004,SODIUM BIC,,,,,,,,,12535,114,1328.9,0,0,,,
,,2,2035,2,20004,CALCIUM CA,,,,,,,,,4270,19,473.63,0,0,,,
,,2,2372,37,20004,VANCOCIN H,,,,,,,,,1080,9,2503.54,0,0,,,
,,2,2468,5,20004,AVENTYL HC,,,,,,,,,17311,34,1834.82,0,0,,,
,,2,2549,2,20004,MORPHINE S,,,,,,,,,60,2,23.41,0,0,,,
,,2,2550,2,20004,MORPHINE S,,,,,,,,,120,2,46.46,0,0,,,
,,2,2551,2,20004,MORPHINE S,,,,,,,,,428,5,248.57,0,0,,,
,,2,2557,2,20004,CODEINE PH,,,,,,,,,30,1,22.35,0,0,,,
,,2,2606,5,20004,OPIUM     ,,,,,,,,,180,2,78.16,0,0,,,
,,2,2606,58,20004,OPIUM     ,,,,,,,,,208,2,96.63,0,0,,,
,,2,3061,2,20004,CECLOR    ,,,,,,,,,655,13,663.48,0,0,,,
,,2,3061,15,20004,CECLOR    ,,,,,,,,,30,1,32.1,0,0,,,
,,2,3061,33,20004,CECLOR    ,,,,,,,,,75,2,78.13,0,0,,,
,,2,3062,15,20004,CECLOR    ,,,,,,,,,32,2,64.3,0,0,,,
,,2,3111,2,20004,DARVON COM,,,,,,,,,110,2,55.22,0,0,,,
,,2,3125,42,20004,VANCOCIN H,,,,,,,,,1671,31,7221.88,0,0,,,
,,2,3126,42,20004,VANCOCIN H,,,,,,,,,3517,86,33224.11,0,0,,,
,,2,3144,1,20004,AXID      ,,,,,,,,,5412,136,9684.79,0,0,,,
,,2,3144,3,20004,AXID      ,,,,,,,,,56282,1098,102250.4,0,0,,,
,,2,3144,33,20004,AXID      ,,,,,,,,,27908,712,52242.97,0,0,,,
,,2,3144,60,20004,AXID      ,,,,,,,,,311318,5878,554150.26,0,0,,,
,,2,3144,82,20004,AXID      ,,,,,,,,,878,17,1676.4,0,0,,,
,,2,3145,30,20004,AXID      ,,,,,,,,,9262,250,31127.29,0,0,,,
,,2,3170,30,20004,LORABID   ,,,,,,,,,2859,153,10594.88,0,0,,,
,,2,3171,30,20004,LORABID   ,,,,,,,,,4054,212,21528.23,0,0,,,
,,2,3210,45,20004,SARAFEM   ,,,,,,,,,1786.143,62,4245.07,0,0,,,
,,2,3220,45,20004,SARAFEM   ,,,,,,,,,4241,144,10095.31,0,0,,,
,,2,4006,2,20004,PROZAC    ,,,,,,,,,4259,100,10257.65,0,0,,,
,,2,4006,30,20004,PROZAC    ,,,,,,,,,36939,999,88193.56,0,0,,,
,,2,4112,60,20004,ZYPREXA   ,,,,,,,,,248350,6834,1058764.43,0,0,,,
,,2,4115,33,20004,ZYPREXA   ,,,,,,,,,47641,1390,238940.78,0,0,,,
