State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,,
FL,,2,351,2,20024,DARVOCET N,,,,,,,,,9616,243,4878.51,0,0,,,
FL,,2,353,2,20024,DARVON-N  ,,,,,,,,,10169,166,7566.88,0,0,,,
FL,,2,353,3,20024,DARVON-N  ,,,,,,,,,1007,15,714.42,0,0,,,
FL,,2,353,33,20024,DARVON-N  ,,,,,,,,,3290,41,2615.96,0,0,,,
FL,,2,363,2,20024,DARVOCET-N,,,,,,,,,2721,59,864.25,0,0,,,
FL,,2,363,3,20024,DARVOCET-N,,,,,,,,,1052,22,327.37,0,0,,,
FL,,2,803,2,20024,DARVON    ,,,,,,,,,3414,70,1864.18,0,0,,,
FL,,2,1444,25,20024,VANCOCIN H,,,,,,,,,264,43,1393.65,0,0,,,
FL,,2,1498,25,20024,KEFZOL    ,,,,,,,,,73,8,191.56,0,0,,,
FL,,2,1499,25,20024,NEBCIN    ,,,,,,,,,518,16,1709.77,0,0,,,
FL,,2,2029,2,20024,SODIUM BIC,,,,,,,,,16924,144,1653.57,0,0,,,
FL,,2,2035,2,20024,CALCIUM CA,,,,,,,,,4460,26,554.58,0,0,,,
FL,,2,2372,37,20024,VANCOCIN H,,,,,,,,,241,3,451.03,0,0,,,
FL,,2,2468,5,20024,AVENTYL HC,,,,,,,,,720,3,87.48,0,0,,,
FL,,2,3004,75,20024,PROZAC WEE,,,,,,,,,10020,2490,182433.94,0,0,,,
FL,,2,3061,33,20024,CECLOR    ,,,,,,,,,28,1,23.21,0,0,,,
FL,,2,3111,2,20024,DARVON COM,,,,,,,,,3072,38,1648.47,0,0,,,
FL,,2,3125,42,20024,VANCOCIN H,,,,,,,,,3205,66,15443.83,0,0,,,
FL,,2,3126,42,20024,VANCOCIN H,,,,,,,,,6171,152,72711.5,0,0,,,
FL,,2,3144,1,20024,AXID      ,,,,,,,,,238,5,655.22,0,0,,,
FL,,2,3144,3,20024,AXID      ,,,,,,,,,377,14,847.98,0,0,,,
FL,,2,3144,33,20024,AXID      ,,,,,,,,,1885,58,5476.72,0,0,,,
FL,,2,3144,60,20024,AXID      ,,,,,,,,,264,8,812.38,0,0,,,
FL,,2,3170,30,20024,LORABID   ,,,,,,,,,14,1,55.01,0,0,,,
FL,,2,3171,2,20024,LORABID   ,,,,,,,,,104,3,580.54,0,0,,,
FL,,2,3171,30,20024,LORABID   ,,,,,,,,,188,11,1002.6,0,0,,,
FL,,2,3210,45,20024,SARAFEM   ,,,,,,,,,1488,50,3669.77,0,0,,,
FL,,2,3220,45,20024,SARAFEM   ,,,,,,,,,6627,215,16451.88,0,0,,,
FL,,2,4006,2,20024,PROZAC    ,,,,,,,,,30,1,83.2,0,0,,,
