State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,
FL,,2,351,2,20044,DARVOCET-N,,,,,,,,,1446,47,890.42,0,0,
FL,,2,353,2,20044,DARVON-N  ,,,,,,,,,4476,115,2722.51,0,0,
FL,,2,353,33,20044,DARVON-N  ,,,,,,,,,1808,57,1176.89,0,0,
FL,,2,363,2,20044,DARVOCET-N,,,,,,,,,2629,61,1638.89,0,0,
FL,,2,363,3,20044,DARVOCET-N,,,,,,,,,2540,53,2419.87,0,0,
FL,,2,363,33,20044,DARVOCET-N,,,,,,,,,1460,28,1383.42,0,0,
FL,,2,803,2,20044,DARVON    ,,,,,,,,,738,11,696.81,0,0,
FL,,2,1444,25,20044,VANCOCIN H,,,,,,,,,730,12,700.51,0,0,
FL,,2,2029,2,20044,SODIUM BIC,,,,,,,,,105,7,110.95,0,0,
FL,,2,2035,2,20044,CALCIUM CA,,,,,,,,,530,8,485.87,0,0,
FL,,2,3004,75,20044,PROZAC WEE,,,,,,,,,455,10,430.34,0,0,
FL,,2,3061,2,20044,CECLOR    ,,,,,,,,,180,3,164.43,0,0,
FL,,2,3111,2,20044,DARVON COM,,,,,,,,,180,3,164.43,0,0,
FL,,2,3125,42,20044,VANCOCIN H,,,,,,,,,1628,36,426.34,0,0,
FL,,2,3126,42,20044,VANCOCIN H,,,,,,,,,2456,41,595.35,0,0,
FL,,2,3210,45,20044,SARAFEM   ,,,,,,,,,1333,28,348.29,0,0,
FL,,2,3220,45,20044,SARAFEM 20,,,,,,,,,2599,46,570.74,0,0,
FL,,2,3227,30,20044,STRATTERA ,,,,,,,,,432,10,94.86,0,0,
FL,,2,3228,30,20044,STRATTERA ,,,,,,,,,360,9,90.63,0,0,
FL,,2,3229,30,20044,STRATTERA ,,,,,,,,,272,5,70.59,0,0,
FL,,2,3231,30,20044,SYMBYAX   ,,,,,,,,,240,6,61.62,0,0,
FL,,2,3231,33,20044,SYMBYAX   ,,,,,,,,,181,4,49.5,0,0,
FL,,2,3232,30,20044,SYMBYAX   ,,,,,,,,,161,3,41.67,0,0,
FL,,2,3232,33,20044,SYMBYAX   ,,,,,,,,,200,5,57.15,0,0,
FL,,2,3233,30,20044,SYMBYAX   ,,,,,,,,,290,5,73.35,0,0,
FL,,2,3233,33,20044,SYMBYAX   ,,,,,,,,,1505,40,1053.64,0,0,
FL,,2,3234,30,20044,SYMBYAX   ,,,,,,,,,1975,51,1384.84,0,0,
FL,,2,3234,33,20044,SYMBYAX   ,,,,,,,,,1815,39,1225.54,0,0,
FL,,2,3235,60,20044,CYMBALTA  ,,,,,,,,,1180,27,803.5,0,0,
FL,,2,3237,30,20044,CYMBALTA  ,,,,,,,,,100,1,60.58,0,0,
FL,,2,3237,33,20044,CYMBALTA  ,,,,,,,,,210,4,142.95,0,0,
FL,,2,3238,30,20044,STRATTERA ,,,,,,,,,1335,16,121.93,0,0,
FL,,2,3239,30,20044,STRATTERA ,,,,,,,,,757,56,4129.98,0,0,
FL,,2,3240,30,20044,CYMBALTA  ,,,,,,,,,415,58,3053.56,0,0,
FL,,2,3240,33,20044,CYMBALTA  ,,,,,,,,,453,103,3360.29,0,0,
FL,,2,4006,2,20044,PROZAC    ,,,,,,,,,328,65,2439.55,0,0,
FL,,2,4006,30,20044,PROZAC    ,,,,,,,,,105,8,365.59,0,0,
FL,,2,4112,4,20044,ZYPREXA   ,,,,,,,,,42,4,149.63,0,0,
FL,,2,4112,33,20044,ZYPREXA   ,,,,,,,,,200,2,19.82,0,0,
FL,,2,4112,60,20044,ZYPREXA   ,,,,,,,,,120,1,4.58,0,0,
FL,,2,4115,4,20044,ZYPREXA   ,,,,,,,,,7387,64,590.97,0,0,
FL,,2,4115,33,20044,ZYPREXA   ,,,,,,,,,6589,60,733.66,0,0,
FL,,2,4115,60,20044,ZYPREXA   ,,,,,,,,,7301,64,802.15,0,0,
FL,,2,4116,33,20044,ZYPREXA   ,,,,,,,,,7928,74,875.12,0,0,
FL,,2,4116,60,20044,ZYPREXA   ,,,,,,,,,690,3,83.79,0,0,
FL,,2,4117,4,20044,ZYPREXA   ,,,,,,,,,1877,21,257.44,0,0,
FL,,2,4117,33,20044,ZYPREXA   ,,,,,,,,,2604,19,314.44,0,0,
FL,,2,4117,60,20044,ZYPREXA   ,,,,,,,,,2387,18,298.57,0,0,
FL,,2,4165,2,20044,EVISTA    ,,,,,,,,,360,3,503.07,0,0,
FL,,2,4165,7,20044,EVISTA    ,,,,,,,,,140,1,335.13,0,0,
FL,,2,4165,30,20044,EVISTA    ,,,,,,,,,6769,1688,143487.62,0,0,
FL,,2,4415,4,20044,ZYPREXA   ,,,,,,,,,5929,1483,127386.64,0,0,
FL,,2,4415,33,20044,ZYPREXA   ,,,,,,,,,5209,1310,114230.72,0,0,
FL,,2,4415,60,20044,ZYPREXA   ,,,,,,,,,4287,1075,94255.1,0,0,
FL,,2,4420,33,20044,ZYPREXA   ,,,,,,,,,50,2,25.28,0,0,
FL,,2,4420,60,20044,ZYPREXA   ,,,,,,,,,30,1,24.03,0,0,
FL,,2,4453,1,20044,ZYPREXA ZY,,,,,,,,,5364,81,3593.76,0,0,
FL,,2,4453,85,20044,ZYPREXA ZY,,,,,,,,,5555,66,3670.01,0,0,
FL,,2,4454,1,20044,ZYPREXA ZY,,,,,,,,,3180,39,2157.34,0,0,
FL,,2,4454,85,20044,ZYPREXA ZY,,,,,,,,,1545,17,1079.81,0,0,
FL,,2,4455,1,20044,ZYPREXA ZY,,,,,,,,,6207,140,41372.56,0,0,
FL,,2,4455,85,20044,ZYPREXA ZY,,,,,,,,,6767,167,45015.42,0,0,
FL,,2,4456,1,20044,ZYPREXA ZY,,,,,,,,,5975,134,40010.44,0,0,
FL,,2,4456,85,20044,ZYPREXA ZY,,,,,,,,,6625,144,46842.21,0,0,
FL,,2,4462,30,20044,CIALIS    ,,,,,,,,,8748,201,107945.08,0,0,
FL,,2,4463,30,20044,CIALIS    ,,,,,,,,,12039,289,161935.34,0,0,
FL,,2,4464,30,20044,CIALIS    ,,,,,,,,,10859,251,143641.87,0,0,
FL,,2,5058,18,20044,CECLOR    ,,,,,,,,,9337,219,123033.91,0,0,
FL,,2,5058,68,20044,CECLOR    ,,,,,,,,,56,2,41.22,0,0,
FL,,2,7335,1,20044,HUMATROPE ,,,,,,,,,88,2,59.94,0,0,
