State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,
FL,,2,1485,1,20084,CAPASTAT S,,,,,,,,,42,14,993.97,993.97,0,
FL,,2,3004,75,20084,PROZAC WEE,,,,,,,,,36,9,973.89,973.89,0,
FL,,2,3227,30,20084,STRATTERA ,,,,,,,,,15319,407,65696.43,62650.12,3046.31,
FL,,2,3228,30,20084,STRATTERA ,,,,,,,,,48654,1306,209602.56,201693.44,7909.12,
FL,,2,3229,30,20084,STRATTERA ,,,,,,,,,73520,2045,343550.98,328176.55,15374.43,
FL,,2,3230,30,20084,SYMBYAX   ,,,,,,,,,711,24,5112.95,5112.95,0,
FL,,2,3231,30,20084,SYMBYAX   ,,,,,,,,,1302,45,12874.14,12874.14,0,
FL,,2,3231,33,20084,SYMBYAX   ,,,,,,,,,390,13,3828.11,3828.11,0,
FL,,2,3232,30,20084,SYMBYAX   ,,,,,,,,,73,3,1076.4,1076.4,0,
FL,,2,3232,33,20084,SYMBYAX   ,,,,,,,,,30,1,441.37,441.37,0,
FL,,2,3233,30,20084,SYMBYAX   ,,,,,,,,,510,17,5019.63,4761,258.63,
FL,,2,3233,33,20084,SYMBYAX   ,,,,,,,,,60,2,588.94,588.94,0,
FL,,2,3234,30,20084,SYMBYAX   ,,,,,,,,,355,13,5205.93,5205.93,0,
FL,,2,3235,60,20084,CYMBALTA  ,,,,,,,,,10145,207,36285.16,35921.44,363.72,
FL,,2,3237,4,20084,CYMBALTA  ,,,,,,,,,90,5,373.98,373.98,0,
FL,,2,3237,30,20084,CYMBALTA  ,,,,,,,,,90276,2677,364397.76,358906.66,5491.1,
FL,,2,3237,33,20084,CYMBALTA  ,,,,,,,,,1695,57,6873.89,6873.89,0,
FL,,2,3238,30,20084,STRATTERA ,,,,,,,,,21859,584,94175.86,91540.65,2635.21,
FL,,2,3239,30,20084,STRATTERA ,,,,,,,,,46902,1440,220094.9,213164.36,6930.54,
FL,,2,3240,1,20084,CYMBALTA  ,,,,,,,,,14,1,59.21,59.21,0,
FL,,2,3240,30,20084,CYMBALTA  ,,,,,,,,,53250,1365,214058.87,210456.13,3602.74,
FL,,2,3240,33,20084,CYMBALTA  ,,,,,,,,,809,33,3546.6,3291.81,254.79,
FL,,2,3250,30,20084,STRATTERA ,,,,,,,,,13529,450,68614.57,66854.6,1759.97,
FL,,2,3251,30,20084,STRATTERA ,,,,,,,,,4202,141,21271.59,20804.65,466.94,
FL,,2,4112,4,20084,ZYPREXA   ,,,,,,,,,390,13,2741.06,2741.06,0,
FL,,2,4112,30,20084,ZYPREXA   ,,,,,,,,,10455,353,73191.69,71664.37,1527.32,
FL,,2,4112,33,20084,ZYPREXA   ,,,,,,,,,649,23,4539.57,4539.57,0,
FL,,2,4112,60,20084,ZYPREXA   ,,,,,,,,,30,1,166.47,166.47,0,
FL,,2,4115,4,20084,ZYPREXA   ,,,,,,,,,1273,46,10477.16,10477.16,0,
FL,,2,4115,30,20084,ZYPREXA   ,,,,,,,,,31460,1066,259040.91,255485,3555.91,
FL,,2,4115,33,20084,ZYPREXA   ,,,,,,,,,905,31,7415.51,7190.99,224.52,
FL,,2,4115,60,20084,ZYPREXA   ,,,,,,,,,30,1,128.64,128.64,0,
FL,,2,4116,4,20084,ZYPREXA   ,,,,,,,,,3,1,33.7,33.7,0,
FL,,2,4116,30,20084,ZYPREXA   ,,,,,,,,,6040,201,60129.46,58336.49,1792.97,
FL,,2,4116,33,20084,ZYPREXA   ,,,,,,,,,30,1,298.45,298.45,0,
FL,,2,4117,1,20084,ZYPREXA   ,,,,,,,,,120,4,1474.08,1474.08,0,
FL,,2,4117,4,20084,ZYPREXA   ,,,,,,,,,1018,35,12563.61,12269.13,294.48,
FL,,2,4117,30,20084,ZYPREXA   ,,,,,,,,,51500.5,1735,635218.72,624944.31,10274.41,
FL,,2,4117,33,20084,ZYPREXA   ,,,,,,,,,1465,53,18159.67,17446.34,713.33,
FL,,2,4117,60,20084,ZYPREXA   ,,,,,,,,,90,3,877.95,877.95,0,
FL,,2,4165,2,20084,EVISTA    ,,,,,,,,,300,10,1036.7,1036.7,0,
FL,,2,4165,7,20084,EVISTA    ,,,,,,,,,30,1,103.67,103.67,0,
FL,,2,4165,30,20084,EVISTA    ,,,,,,,,,166,6,544.41,544.41,0,
FL,,2,4165,34,20084,EVISTA    ,,,,,,,,,570,19,1969.73,1969.73,0,
FL,,2,4415,4,20084,ZYPREXA   ,,,,,,,,,1231,27,22620.61,22620.61,0,
FL,,2,4415,30,20084,ZYPREXA   ,,,,,,,,,86759,2057,1594131.9,1586077.66,8054.24,
FL,,2,4415,33,20084,ZYPREXA   ,,,,,,,,,1507,40,27700.02,27700.02,0,
FL,,2,4420,4,20084,ZYPREXA   ,,,,,,,,,60,2,1464.66,1464.66,0,
FL,,2,4420,30,20084,ZYPREXA   ,,,,,,,,,74713,2484,1830181,1815957.95,14223.05,
FL,,2,4420,33,20084,ZYPREXA   ,,,,,,,,,1066,37,26158.25,26158.25,0,
FL,,2,4453,1,20084,ZYPREXA ZY,,,,,,,,,30,1,276.82,276.82,0,
FL,,2,4453,85,20084,ZYPREXA ZY,,,,,,,,,2505,80,23148.84,20968.06,2180.78,
FL,,2,4454,1,20084,ZYPREXA ZY,,,,,,,,,134,5,1803.71,1803.71,0,
FL,,2,4454,85,20084,ZYPREXA ZY,,,,,,,,,4234,138,56372.16,55112.42,1259.74,
FL,,2,4455,1,20084,ZYPREXA ZY,,,,,,,,,150,4,2902.72,2902.72,0,
FL,,2,4455,85,20084,ZYPREXA ZY,,,,,,,,,7439,152,143618.86,143087.44,531.42,
FL,,2,4456,1,20084,ZYPREXA ZY,,,,,,,,,180,6,4578.36,3871.58,706.78,
FL,,2,4456,85,20084,ZYPREXA ZY,,,,,,,,,5351,178,136659.71,135318.09,1341.62,
FL,,2,7497,1,20084,DOBUTAMINE,,,,,,,,,220,11,36.19,36.19,0,
FL,,2,7499,1,20084,DOBUTAMINE,,,,,,,,,40,2,6.66,6.66,0,
FL,,2,7501,1,20084,GEMZAR    ,,,,,,,,,2787,382,370266.8,259928.55,110338.25,
FL,,2,7502,1,20084,GEMZAR    ,,,,,,,,,833.6,536,500713.82,238644.64,262069.18,
FL,,2,7510,1,20084,HUMALOG   ,,,,,,,,,85501.15,5158,789452.3,779844.56,9607.74,
FL,,2,7511,1,20084,HUMALOG MI,,,,,,,,,29754,1286,272388.32,271128.64,1259.68,
FL,,2,7512,1,20084,HUMALOG MI,,,,,,,,,1370,32,12447.55,12447.55,0,
FL,,2,7516,59,20084,HUMALOG   ,,,,,,,,,2049,129,23250.18,22888.93,361.25,
FL,,2,7597,1,20084,ZYPREXA   ,,,,,,,,,5,2,137.12,137.12,0,
FL,,2,7623,1,20084,ALIMTA    ,,,,,,,,,430.46,238,946027.22,631008.97,315018.25,
FL,,2,7640,1,20084,ALIMTA    ,,,,,,,,,159,23,76347.92,44919.25,31428.67,
FL,,2,8031,1,20084,GLUCAGON E,,,,,,,,,617,617,52778.78,51841.07,937.71,
FL,,2,8085,1,20084,GLUCAGON 1,,,,,,,,,85,55,6424.07,6424.07,0,
FL,,2,8215,1,20084,HUMULIN R ,,,,,,,,,56703.8,4677,247066.1,245406.31,1659.79,
FL,,2,8315,1,20084,HUMULIN N ,,,,,,,,,58230.2,3581,248214.55,246648.93,1565.62,
FL,,2,8400,1,20084,FORTEO    ,,,,,,,,,100.8,42,32575.2,32575.2,0,
FL,,2,8501,1,20084,HUMULIN R ,,,,,,,,,2350,83,27572.56,24902.28,2670.28,
FL,,2,8715,1,20084,HUMULIN 70,,,,,,,,,126342,6347,532507.82,531675.31,832.51,
FL,,2,8725,1,20084,HUMALOG   ,,,,,,,,,345,23,4088.02,4088.02,0,
FL,,2,8725,59,20084,HUMALOG   ,,,,,,,,,23213,1313,273935.96,270517.88,3418.08,
FL,,2,8730,1,20084,HUMULIN N ,,,,,,,,,120,6,1041.29,574.02,467.27,
FL,,2,8730,59,20084,HUMULIN N ,,,,,,,,,2700,142,23337.77,23228.72,109.05,
FL,,2,8770,1,20084,HUMULIN 70,,,,,,,,,585,20,5037.18,5037.18,0,
FL,,2,8770,59,20084,HUMULIN 70,,,,,,,,,5745,230,49456.24,48532.54,923.7,
FL,,2,8793,59,20084,HUMALOG MI,,,,,,,,,225,7,2632.27,2632.27,0,
FL,,2,8794,59,20084,HUMALOG MI,,,,,,,,,12597.7,577,148005.92,145263.69,2742.23,
FL,,2,8797,59,20084,HUMALOG MI,,,,,,,,,3174,139,37302.76,35383.66,1919.1,
FL,,2,8798,59,20084,HUMALOG MI,,,,,,,,,51,4,606.85,606.85,0,
FL,,2,8799,59,20084,HUMALOG   ,,,,,,,,,7909,464,93448.85,92773.55,675.3,
FL,,2,8971,1,20084,FORTEO    ,,,,,,,,,129,43,33350.8,33350.8,0,
FL,,2,9515,1,20084,HUMULIN 50,,,,,,,,,880,33,3666.47,3666.47,0,
FL,,3,173,60,20084,KENALOG   ,,,,,,,,,8,3,240,240,0,
FL,,3,293,5,20084,KENALOG-40,,,,,,,,,168,246,19966.72,19958.45,8.27,
FL,,3,293,20,20084,KENALOG-40,,,,,,,,,136.5,142,4040.69,4011.59,29.1,
FL,,3,293,28,20084,KENALOG-40,,,,,,,,,379.5,309,7560.88,7282.22,278.66,
FL,,3,494,20,20084,KENALOG-10,,,,,,,,,309,119,1015.19,912.56,102.63,
FL,,3,501,62,20084,KENALOG   ,,,,,,,,,1071,15,883,831.83,51.17,
FL,,3,506,49,20084,KENALOG   ,,,,,,,,,80,1,7.15,7.15,0,
FL,,3,508,56,20084,KENALOG   ,,,,,,,,,60,1,6.27,6.27,0,
FL,,3,524,11,20084,SPRYCEL   ,,,,,,,,,420,9,39194.58,39194.58,0,
FL,,3,527,11,20084,SPRYCEL   ,,,,,,,,,102,3,4880.17,4880.17,0,
FL,,3,528,11,20084,SPRYCEL   ,,,,,,,,,840,14,79713.4,79713.4,0,
FL,,3,830,50,20084,HYDREA    ,,,,,,,,,60,1,33.68,33.68,0,
FL,,3,852,22,20084,SPRYCEL   ,,,,,,,,,150,5,28571.1,17346.94,11224.16,
FL,,3,1482,20,20084,HALOG     ,,,,,,,,,30,1,47.19,47.19,0,
FL,,3,1611,12,20084,BARACLUDE ,,,,,,,,,255,8,6091.28,6091.28,0,
FL,,3,1611,13,20084,BARACLUDE ,,,,,,,,,75,3,1794.27,1794.27,0,
FL,,3,1612,12,20084,BARACLUDE ,,,,,,,,,1287,39,30737.21,30737.21,0,
FL,,3,1964,1,20084,ZERIT     ,,,,,,,,,150,4,865.76,865.76,0,
FL,,3,1965,1,20084,ZERIT     ,,,,,,,,,3240,57,19310.09,19310.09,0,
FL,,3,1966,1,20084,ZERIT     ,,,,,,,,,14594,246,92260.36,92260.36,0,
FL,,3,1967,1,20084,ZERIT     ,,,,,,,,,23030,389,148261.7,147906.41,355.29,
FL,,3,1968,1,20084,ZERIT     ,,,,,,,,,57800,41,20673.5,20673.5,0,
FL,,3,2187,10,20084,ORENCIA   ,,,,,,,,,651.96,218,306506.68,133072.76,173433.92,
FL,,3,2926,30,20084,CEFAZOLIN ,,,,,,,,,0.5,1,1.82,1.82,0,
FL,,3,3622,12,20084,REYATAZ   ,,,,,,,,,80030,2668,2303329.19,2296737.27,6591.92,
FL,,3,3623,12,20084,REYATAZ   ,,,,,,,,,360,4,5176.12,5176.12,0,
FL,,3,3624,12,20084,REYATAZ   ,,,,,,,,,33228,564,477587.59,473407.97,4179.62,
FL,,3,3631,12,20084,REYATAZ   ,,,,,,,,,29334,495,422349.58,422349.58,0,
FL,,3,5154,5,20084,PRAVACHOL ,,,,,,,,,94,3,136.95,136.95,0,
FL,,3,5178,5,20084,PRAVACHOL ,,,,,,,,,30,1,13.05,13.05,0,
FL,,3,6335,17,20084,DROXIA    ,,,,,,,,,2130,28,1803,1778.82,24.18,
FL,,3,6336,17,20084,DROXIA    ,,,,,,,,,600,14,533.28,486.16,47.12,
FL,,3,6337,17,20084,DROXIA    ,,,,,,,,,60,1,55.01,55.01,0,
FL,,4,28,28,20084,NAPROSYN  ,,,,,,,,,200,1,18.41,18.41,0,
FL,,4,38,22,20084,VALCYTE   ,,,,,,,,,12395.2,289,444741.9,443201,1540.9,
FL,,4,58,1,20084,KLONOPIN  ,,,,,,,,,840,11,324.82,324.82,0,
FL,,4,68,1,20084,KLONOPIN  ,,,,,,,,,840,14,442.41,442.41,0,
FL,,4,86,94,20084,COPEGUS   ,,,,,,,,,540,3,5665.5,5665.5,0,
FL,,4,98,1,20084,KLONOPIN  ,,,,,,,,,90,3,19.63,19.63,0,
FL,,4,185,23,20084,BONIVA    ,,,,,,,,,60,2,199.4,199.4,0,
FL,,4,186,82,20084,BONIVA    ,,,,,,,,,2405,2405,231797.79,230546.43,1251.36,
FL,,4,188,9,20084,BONIVA    ,,,,,,,,,95.333,96,39406.27,8149.84,31256.43,
FL,,4,239,9,20084,KYTRIL    ,,,,,,,,,152.1,155,19504.08,18459.85,1044.23,
