State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,
FL,,2,3227,30,20104,STRATTERA ,,,,,,,,,10968,270,54283.05,50793.48,3489.57,,
FL,,2,3228,30,20104,STRATTERA ,,,,,,,,,34133,972,169422.56,163059.14,6363.42,,
FL,,2,3229,30,20104,STRATTERA ,,,,,,,,,45557,1359,245146.37,232912.7,12233.67,,
FL,,2,3230,30,20104,SYMBYAX   ,,,,,,,,,2370,77,20157.04,19767.58,389.46,,
FL,,2,3231,1,20104,SYMBYAX   ,,,,,,,,,74,3,856.36,856.36,0,,
FL,,2,3231,30,20104,SYMBYAX   ,,,,,,,,,3712,124,42989.3,41440.64,1548.66,,
FL,,2,3231,33,20104,SYMBYAX   ,,,,,,,,,570,19,6593.96,6593.96,0,,
FL,,2,3232,1,20104,SYMBYAX   ,,,,,,,,,30,1,510.79,510.79,0,,
FL,,2,3232,30,20104,SYMBYAX   ,,,,,,,,,928,31,16090.11,16090.11,0,,
FL,,2,3233,1,20104,SYMBYAX   ,,,,,,,,,180,6,2041.92,2041.92,0,,
FL,,2,3233,30,20104,SYMBYAX   ,,,,,,,,,2009,69,23296.35,23296.35,0,,
FL,,2,3233,33,20104,SYMBYAX   ,,,,,,,,,120,4,1361.28,1361.28,0,,
FL,,2,3234,1,20104,SYMBYAX   ,,,,,,,,,80,3,1395.51,1395.51,0,,
FL,,2,3234,30,20104,SYMBYAX   ,,,,,,,,,1170,39,20403.21,20403.21,0,,
FL,,2,3234,33,20104,SYMBYAX   ,,,,,,,,,150,5,2650.43,2650.43,0,,
FL,,2,3235,60,20104,CYMBALTA  ,,,,,,,,,5369,133,22863.07,22558.7,304.37,,
FL,,2,3237,4,20104,CYMBALTA  ,,,,,,,,,60,2,267.12,267.12,0,,
FL,,2,3237,30,20104,CYMBALTA  ,,,,,,,,,5929,169,26290.28,25814.04,476.24,,
FL,,2,3237,33,20104,CYMBALTA  ,,,,,,,,,150,5,667.8,667.8,0,,
FL,,2,3238,30,20104,STRATTERA ,,,,,,,,,10728,322,53292.9,52070.57,1222.33,,
FL,,2,3239,30,20104,STRATTERA ,,,,,,,,,30150,970,162563.06,157357.35,5205.71,,
FL,,2,3240,1,20104,CYMBALTA  ,,,,,,,,,56,1,246.93,25.63,221.3,,
FL,,2,3240,30,20104,CYMBALTA  ,,,,,,,,,39683,1059,189330.92,185679.94,3650.98,,
FL,,2,3240,33,20104,CYMBALTA  ,,,,,,,,,405,15,1949.3,1412.04,537.26,,
FL,,2,3240,90,20104,CYMBALTA  ,,,,,,,,,80,2,381.46,381.46,0,,
FL,,2,3250,30,20104,STRATTERA ,,,,,,,,,12151,406,70632.03,69409.96,1222.07,,
FL,,2,3251,30,20104,STRATTERA ,,,,,,,,,3788,125,22012.42,21000.56,1011.86,,
FL,,2,3270,1,20104,CYMBALTA  ,,,,,,,,,120,4,533.56,533.56,0,,
FL,,2,3270,4,20104,CYMBALTA  ,,,,,,,,,911,31,4375.47,4375.47,0,,
FL,,2,3270,30,20104,CYMBALTA  ,,,,,,,,,52221,1574,249886.18,245614.69,4271.49,,
FL,,2,3270,33,20104,CYMBALTA  ,,,,,,,,,846,29,4063.2,3945.15,118.05,,
FL,,2,4112,4,20104,ZYPREXA   ,,,,,,,,,1080,36,8804.69,8804.69,0,,
FL,,2,4112,30,20104,ZYPREXA   ,,,,,,,,,10020,340,82263.04,77815.9,4447.14,,
FL,,2,4112,33,20104,ZYPREXA   ,,,,,,,,,510,18,4174.21,4174.21,0,,
FL,,2,4115,4,20104,ZYPREXA   ,,,,,,,,,2243,76,21528.48,20880.04,648.44,,
FL,,2,4115,30,20104,ZYPREXA   ,,,,,,,,,37269,1274,359632.36,348982.4,10649.96,,
FL,,2,4115,33,20104,ZYPREXA   ,,,,,,,,,1233,41,11842.69,11842.69,0,,
FL,,2,4116,4,20104,ZYPREXA   ,,,,,,,,,90,3,1067.5,1067.5,0,,
FL,,2,4116,30,20104,ZYPREXA   ,,,,,,,,,4810,167,56375.81,54007.51,2368.3,,
FL,,2,4116,33,20104,ZYPREXA   ,,,,,,,,,127,5,1495.88,1495.88,0,,
FL,,2,4117,4,20104,ZYPREXA   ,,,,,,,,,1649,57,23950.51,23950.51,0,,
FL,,2,4117,30,20104,ZYPREXA   ,,,,,,,,,53371.5,1813,772092.95,760224.89,11868.06,,
FL,,2,4117,33,20104,ZYPREXA   ,,,,,,,,,1807,61,26069.75,26069.75,0,,
FL,,2,4165,2,20104,EVISTA    ,,,,,,,,,330,11,1335.1,1335.1,0,,
FL,,2,4165,30,20104,EVISTA    ,,,,,,,,,450,15,1818.75,1818.75,0,,
FL,,2,4415,4,20104,ZYPREXA   ,,,,,,,,,1360,40,29489.54,29489.54,0,,
FL,,2,4415,30,20104,ZYPREXA   ,,,,,,,,,74994,1872,1621313.26,1612025.42,9287.84,,
FL,,2,4415,33,20104,ZYPREXA   ,,,,,,,,,1020,26,22129.37,22129.37,0,,
FL,,2,4420,4,20104,ZYPREXA   ,,,,,,,,,92,3,2602.83,2602.83,0,,
FL,,2,4420,30,20104,ZYPREXA   ,,,,,,,,,81957,2757,2361989.86,2352591.17,9398.69,,
FL,,2,4420,33,20104,ZYPREXA   ,,,,,,,,,1360,48,39120.13,39120.13,0,,
FL,,2,4453,1,20104,ZYPREXA ZY,,,,,,,,,30,1,313.72,313.72,0,,
FL,,2,4453,85,20104,ZYPREXA ZY,,,,,,,,,2075,72,21986.24,20259.87,1726.37,,
FL,,2,4454,1,20104,ZYPREXA ZY,,,,,,,,,150,5,2359.27,2359.27,0,,
FL,,2,4454,85,20104,ZYPREXA ZY,,,,,,,,,3807,131,59144.8,54481.07,4663.73,,
FL,,2,4455,1,20104,ZYPREXA ZY,,,,,,,,,60,2,1334.1,1334.1,0,,
FL,,2,4455,85,20104,ZYPREXA ZY,,,,,,,,,6224,146,141214.09,134070.52,7143.57,,
FL,,2,4456,1,20104,ZYPREXA ZY,,,,,,,,,178,6,5372.43,4571.23,801.2,,
FL,,2,4456,85,20104,ZYPREXA ZY,,,,,,,,,5155,177,153901.12,150737.78,3163.34,,
FL,,2,4759,30,20104,EFFIENT   ,,,,,,,,,1680,56,9394,9255.48,138.52,,
FL,,2,4760,30,20104,EFFIENT   ,,,,,,,,,90,3,503.25,503.25,0,,
