State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,,
MA,,2,817,2,20001,AVENTYL HC,,,,,,,,,120,2,9,0,0,,,
MA,,2,817,2,20002,AVENTYL HC,,,,,,,,,60,1,4.11,0,0,,,
MA,,2,817,2,20003,AVENTYL HC,,,,,,,,,120,2,9,0,0,,,
MA,,2,819,2,20001,AVENTYL HC,,,,,,,,,920,8,805.85,0,0,,,
MA,,2,819,2,20002,AVENTYL HC,,,,,,,,,1335,12,1183.57,0,0,,,
MA,,2,819,2,20003,AVENTYL HC,,,,,,,,,1260,11,1093.67,0,0,,,
MA,,2,819,2,20004,AVENTYL HC,,,,,,,,,1080,10,956.57,0,0,,,
MA,,2,819,3,20001,AVENTYL HC,,,,,,,,,180,3,153.99,0,0,,,
MA,,2,2468,5,20001,AVENTYL HC,,,,,,,,,27436,67,2683.03,0,0,,,
MA,,2,2468,5,20002,AVENTYL HC,,,,,,,,,20169,45,1935.39,0,0,,,
MA,,2,2468,5,20003,AVENTYL HC,,,,,,,,,19185,43,1933.23,0,0,,,
MA,,2,2468,5,20004,AVENTYL HC,,,,,,,,,19441,37,2023.15,0,0,,,
MA,,2,3144,3,20001,AXID      ,,,,,,,,,49247,1434,80096.21,0,0,,,
MA,,2,3144,3,20002,AXID      ,,,,,,,,,41245,1253,65762.33,0,0,,,
MA,,2,3144,3,20003,AXID      ,,,,,,,,,36686,1135,60335.62,0,0,,,
MA,,2,3144,3,20004,AXID      ,,,,,,,,,34786,1039,56911.02,0,0,,,
MA,,2,3144,33,20001,AXID      ,,,,,,,,,115,3,190.06,0,0,,,
MA,,2,3144,33,20002,AXID      ,,,,,,,,,8,1,15.2,0,0,,,
MA,,2,3144,60,20001,AXID      ,,,,,,,,,185049,3697,295613.29,0,0,,,
MA,,2,3144,60,20002,AXID      ,,,,,,,,,163740,3340,262644.68,0,0,,,
MA,,2,3144,60,20003,AXID      ,,,,,,,,,153005,3127,246010.46,0,0,,,
MA,,2,3144,60,20004,AXID      ,,,,,,,,,147207,3013,239751.9,0,0,,,
MA,,2,3145,30,20001,AXID      ,,,,,,,,,4843,123,14850,0,0,,,
MA,,2,3145,30,20002,AXID      ,,,,,,,,,4126,106,12600.85,0,0,,,
MA,,2,3145,30,20003,AXID      ,,,,,,,,,3915,97,12087.94,0,0,,,
MA,,2,3145,30,20004,AXID      ,,,,,,,,,4451,115,13961.33,0,0,,,
MA,,2,2035,2,20001,CALCIUM CA,,,,,,,,,1580,8,49.34,0,0,,,
MA,,2,2035,2,20002,CALCIUM CA,,,,,,,,,680,4,16.12,0,0,,,
MA,,2,2035,2,20003,CALCIUM CA,,,,,,,,,2080,13,51.22,0,0,,,
MA,,2,2035,2,20004,CALCIUM CA,,,,,,,,,2080,15,64.36,0,0,,,
MA,,2,3061,2,20001,CECLOR    ,,,,,,,,,480,15,937.9,0,0,,,
MA,,2,3061,2,20002,CECLOR    ,,,,,,,,,351,10,657.35,0,0,,,
MA,,2,3061,2,20003,CECLOR    ,,,,,,,,,252,8,480.89,0,0,,,
MA,,2,3061,2,20004,CECLOR    ,,,,,,,,,141,5,262.1,0,0,,,
MA,,2,3061,15,20001,CECLOR    ,,,,,,,,,105,4,221.73,0,0,,,
MA,,2,3061,15,20002,CECLOR    ,,,,,,,,,30,1,63.97,0,0,,,
MA,,2,3061,15,20003,CECLOR    ,,,,,,,,,30,1,63.26,0,0,,,
MA,,2,3061,15,20004,CECLOR    ,,,,,,,,,30,1,63.72,0,0,,,
MA,,2,3061,33,20002,CECLOR    ,,,,,,,,,12,2,20.32,0,0,,,
MA,,2,3061,33,20004,CECLOR    ,,,,,,,,,30,1,38.34,0,0,,,
MA,,2,3062,2,20001,CECLOR    ,,,,,,,,,40,2,133.73,0,0,,,
MA,,2,3062,2,20004,CECLOR    ,,,,,,,,,120,1,9.5,0,0,,,
MA,,2,3062,15,20001,CECLOR    ,,,,,,,,,348,12,1324.16,0,0,,,
MA,,2,3062,15,20002,CECLOR    ,,,,,,,,,111,4,438.68,0,0,,,
MA,,2,3062,15,20003,CECLOR    ,,,,,,,,,61,2,93.64,0,0,,,
MA,,2,3062,15,20004,CECLOR    ,,,,,,,,,112,4,296.4,0,0,,,
MA,,2,5057,18,20001,CECLOR    ,,,,,,,,,225,1,42.23,0,0,,,
MA,,2,5057,68,20001,CECLOR    ,,,,,,,,,750,5,147.83,0,0,,,
MA,,2,5058,18,20001,CECLOR    ,,,,,,,,,225,2,63.37,0,0,,,
MA,,2,5058,18,20002,CECLOR    ,,,,,,,,,75,1,22.12,0,0,,,
MA,,2,5058,68,20001,CECLOR    ,,,,,,,,,3150,20,1044.07,0,0,,,
MA,,2,5058,68,20002,CECLOR    ,,,,,,,,,1050,7,358.41,0,0,,,
MA,,2,5058,68,20003,CECLOR    ,,,,,,,,,1350,8,261.43,0,0,,,
MA,,2,5058,68,20004,CECLOR    ,,,,,,,,,1050,7,266.54,0,0,,,
MA,,2,5130,48,20002,CECLOR    ,,,,,,,,,150,1,45.78,0,0,,,
MA,,2,5130,48,20004,CECLOR    ,,,,,,,,,100,1,29.07,0,0,,,
MA,,2,5132,48,20001,CECLOR    ,,,,,,,,,200,2,105.73,0,0,,,
MA,,2,5132,48,20002,CECLOR    ,,,,,,,,,200,2,103.79,0,0,,,
MA,,2,5132,87,20004,CECLOR    ,,,,,,,,,50,1,29.61,0,0,,,
