State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,,
MA,,2,260,2,19991,DELTALIN  ,,,,,,,,,30,1,4.11,0,0,,,
MA,,2,346,2,19991,V-CILLIN K,,,,,,,,,28,1,4.79,0,0,,,
MA,,2,640,2,19991,SECONAL SO,,,,,,,,,1955,47,477.39,0,0,,,
MA,,2,640,33,19991,SECONAL SO,,,,,,,,,366,18,99.5,0,0,,,
MA,,2,665,2,19991,TUINAL    ,,,,,,,,,420,7,111.44,0,0,,,
MA,,2,803,2,19991,DARVON    ,,,,,,,,,6801,71,2338.92,0,0,,,
MA,,2,803,3,19991,DARVON    ,,,,,,,,,360,1,121.95,0,0,,,
MA,,2,803,33,19991,DARVON    ,,,,,,,,,689,17,283.81,0,0,,,
MA,,2,817,2,19991,AVENTYL HC,,,,,,,,,180,3,23.41,0,0,,,
MA,,2,817,33,19991,AVENTYL HC,,,,,,,,,60,1,7.5,0,0,,,
MA,,2,819,2,19991,AVENTYL HC,,,,,,,,,1244,11,1064.31,0,0,,,
MA,,2,1009,2,19991,CODEINE SU,,,,,,,,,118,3,29.16,0,0,,,
MA,,2,1010,2,19991,CODEINE SU,,,,,,,,,239,7,115.05,0,0,,,
MA,,2,1031,2,19991,PHENOBARBI,,,,,,,,,930,11,34.27,0,0,,,
MA,,2,1032,2,19991,PHENOBARBI,,,,,,,,,9397,106,327.49,0,0,,,
MA,,2,1032,4,19991,PHENOBARBI,,,,,,,,,2348,26,76.07,0,0,,,
MA,,2,1033,2,19991,PHENOBARBI,,,,,,,,,9838,214,741.95,0,0,,,
MA,,2,1037,2,19991,PHENOBARBI,,,,,,,,,19646,297,1013.06,0,0,,,
MA,,2,1037,4,19991,PHENOBARBI,,,,,,,,,45649,836,3110.63,0,0,,,
MA,,2,1064,2,19991,DOLOPHINE ,,,,,,,,,360,6,46.86,0,0,,,
MA,,2,1072,2,19991,DOLOPHINE ,,,,,,,,,1839,15,283.05,0,0,,,
MA,,2,1410,1,19991,PEN G POT ,,,,,,,,,2,2,15.92,0,0,,,
